VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          5,           0,           3,      -4.279340729,      -1.625317524,      -1.586264882,       1.195134774,      -2.352543446,       2.861410323,     0.02965206655,     -0.2150734508,                 0,                 0,                 0,     0.08892991025,     0.02965206655,     -0.2150734508,                 0,       -7.25323648,              -nan,     -0.2343213358,     -0.2185433315,     -0.1885514627,     -0.2968885902,    -0.04136148819,    -0.08784441214
          5,           0,           4,      -4.307782863,      -1.663725673,      -1.618485744,       1.160153414,      -2.365367242,       2.858272133,     0.02792487572,     -0.2101645255,                 0,                 0,                 0,     0.09257943323,     0.02792487572,     -0.2101645255,                 0,       -7.52606843,              -nan,     -0.2627634701,     -0.2569514811,     -0.2207723238,     -0.3318699499,    -0.05418528365,    -0.09098260241
          6,           0,           0,      -2.229997512,       0.166624025,      0.1913283424,       3.204531424,      0.8055164586,       5.270555062,     0.02487299559,     -0.1902412232,                 0,                 0,                 0,      0.1001307606,     0.02487299559,     -0.1902412232,                 0,      -7.648504681,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          6,           0,           1,      -2.766823148,     -0.3886216062,     -0.3704917582,       2.687176586,      -0.263585463,       4.393908396,     0.02331883422,     -0.1824343573,                 0,                 0,                 0,      0.1042339124,     0.02331883422,     -0.1824343573,                 0,      -7.823476749,              -nan,     -0.5368256354,     -0.5552456312,     -0.5618201007,     -0.5173548373,      -1.069101922,     -0.8766466656
          6,           0,           2,      -3.232243867,     -0.7988625923,       -0.79967715,       2.250126117,      -1.353900537,        3.15798032,     0.02222863557,     -0.1780369979,                 0,                 0,                 0,      0.1071223565,     0.02222863557,     -0.1780369979,                 0,      -8.009353401,              -nan,      -1.002246355,     -0.9654866173,     -0.9910054925,     -0.9544053062,      -2.159416996,      -2.112574742
          6,           0,           3,      -3.641215807,      -1.088838878,      -1.111510409,       1.876091347,      -2.365012765,       2.880707226,      0.0213696388,     -0.1745432267,                 0,                 0,                 0,      0.1093609037,      0.0213696388,     -0.1745432267,                 0,      -8.167813611,              -nan,      -1.411218295,      -1.255462903,      -1.302838752,      -1.328440077,      -3.170529224,      -2.389847836
          6,           0,           4,      -3.960244877,      -1.288067999,      -1.324733432,       1.578195228,      -2.404229451,        2.85296174,     0.02066890936,       -0.17151449,                 0,                 0,                 0,       0.111007553,     0.02066890936,       -0.17151449,                 0,       -8.29818773,              -nan,      -1.730247365,      -1.454692024,      -1.516061775,      -1.626336195,       -3.20974591,      -2.417593322
          6,           0,           0,      -4.161124784,      -1.427170842,      -1.468673174,       1.365652064,      -2.418239291,        2.82266153,     0.02025004292,     -0.1709331048,                 0,                 0,                 0,      0.1109585627,     0.02025004292,     -0.1709331048,                 0,      -8.441123087,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          6,           0,           1,      -4.266363059,      -1.529945004,      -1.571133662,       1.234616176,      -2.431017949,       2.791681265,     0.01973647926,     -0.1686687857,                 0,                 0,                 0,      0.1116238081,     0.01973647926,     -0.1686687857,                 0,      -8.546042254,              -nan,      -0.105238275,     -0.1027741625,     -0.1024604871,     -0.1310358876,    -0.01277865744,    -0.03098026491
          6,           0,           2,      -4.322202333,      -1.609182098,       -1.64710365,        1.16057447,      -2.442847611,       2.762540533,     0.01926811777,     -0.1667869493,                 0,                 0,                 0,      0.1118365388,     0.01926811777,     -0.1667869493,                 0,      -8.656110124,              -nan,     -0.1610775489,     -0.1820112566,     -0.1784304754,     -0.2050775941,    -0.02460832012,    -0.06012099684
          6,           0,           3,      -4.355906609,      -1.671383905,      -1.704041575,       1.117446909,      -2.453962252,       2.757244925,     0.01883419517,     -0.1653998024,                 0,                 0,                 0,      0.1115954078,     0.01883419517,     -0.1653998024,                 0,      -8.781888521,              -nan,     -0.1947818258,     -0.2442130636,     -0.2353684003,     -0.2482051554,    -0.03572296018,     -0.0654166049
          6,           0,           4,      -4.378264367,       -1.72108712,      -1.747085754,       1.090349637,      -2.464695479,       2.768650397,      0.0184135989,     -0.1643904324,                 0,                 0,                 0,      0.1110241493,      0.0184135989,     -0.1643904324,                 0,      -8.927664457,              -nan,     -0.2171395831,     -0.2939162787,     -0.2784125796,     -0.2753024266,    -0.04645618719,    -0.05401113308
          7,           0,           0,      -2.177745218,      0.2183618408,      0.2317483062,       3.257347095,      0.6492352956,       4.713861554,     0.01675098623,     -0.1507586269,                 0,                 0,                 0,      0.1131976645,     0.01675098623,     -0.1507586269,                 0,       -8.99998513,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
